T1,SP1,Y1,YN1
19,0,15,1
31,0,15,1
44,0,15,1
56,0,15,1
69,0,15,1
81,0,15,1
94,0,15,1
106,0,15,1
119,0,15,1
134,0,15,1
147,0,15,1
160,0,15,1
174,0,15,1
187,0,15,1
201,0,15,1
215,0,15,1
228,0,15,1
241,0,15,1
254,0,15,1
269,0,15,1
282,0,15,1
295,0,15,1
309,0,15,1
322,0,15,1
336,0,15,1
350,0,15,1
363,0,15,1
376,0,15,1
390,0,15,1
404,0,15,1
417,0,15,1
431,0,15,1
444,0,15,1
457,0,15,1
472,0,15,1
485,0,15,1
498,0,15,1
512,0,15,1
525,0,15,1
539,0,15,1
552,0,15,1
565,0,0,16
578,0,15,1
591,0,15,1
606,0,15,1
619,0,15,1
632,0,15,1
646,0,15,1
659,0,15,1
673,0,14,2
687,0,15,1
700,0,15,1
713,0,15,1
727,0,15,1
741,0,15,1
754,0,15,1
768,0,15,1
781,0,15,1
794,0,15,1
808,0,15,1
822,0,15,1
835,0,15,1
848,0,15,1
862,0,15,1
876,0,15,1
889,0,15,1
903,0,15,1
916,0,15,1
930,0,15,1
944,0,15,1
957,0,15,1
969,0,0,16
983,0,15,1
997,0,15,1
1010,0,15,1
1025,0,15,1
1039,0,15,1
1053,0,15,1
1069,0,16,0
1083,0,15,1
1097,0,15,1
1112,0,16,0
1126,0,15,1
1141,0,15,1
1156,0,15,1
1170,0,15,1
1184,0,15,1
1200,0,15,1
1214,0,15,1
1228,0,15,1
1243,0,15,1
1257,0,15,1
1272,0,15,1
1287,0,15,1
1301,0,15,1
1315,0,15,1
1331,0,15,1
1345,0,15,1
1359,0,15,1
1374,0,15,1
1388,0,16,0
1403,0,16,0
1418,0,16,0
1432,0,15,1
1446,0,15,1
1462,0,15,1
1476,0,15,1
1490,0,15,1
1505,0,16,0
1519,0,16,0
1534,0,16,0
1549,0,16,0
1563,0,16,0
1577,0,15,1
1592,0,15,1
1607,0,15,1
1622,0,15,1
1636,0,15,1
1650,0,15,1
1666,0,16,0
1680,0,16,0
1694,0,16,0
1709,0,16,0
1723,0,15,1
1738,0,15,1
1753,0,15,1
1767,0,15,1
1781,0,15,1
1797,0,15,1
1811,0,15,1
1825,0,15,1
1840,0,15,1
1854,0,15,1
1869,0,15,1
1884,0,15,1
1898,0,15,1
1912,0,15,1
1928,0,16,0
1942,0,15,1
1956,0,15,1
1971,0,15,1
1985,0,15,1
2000,0,15,1
2015,0,15,1
2029,0,15,1
2043,0,15,1
2058,0,15,1
2073,0,15,1
2087,0,15,1
2102,0,15,1
2116,0,15,1
2131,0,15,1
2146,0,15,1
2160,0,15,1
2174,0,15,1
2189,0,15,1
2204,0,15,1
2219,0,15,1
2233,0,15,1
2247,0,15,1
2263,0,16,0
2277,0,15,1
2291,0,15,1
2306,0,16,0
2320,0,15,1
2335,0,15,1
2350,0,15,1
2364,0,15,1
2378,0,15,1
2394,0,14,2
2408,0,15,1
2422,0,15,1
2437,0,15,1
2451,0,15,1
2466,0,16,0
2481,0,16,0
2495,0,15,1
2509,0,16,0
2524,0,15,1
2539,0,15,1
2553,0,14,2
2568,0,16,0
2582,0,15,1
2597,0,15,1
2612,0,15,1
2626,0,15,1
2640,0,15,1
2655,0,15,1
2670,0,15,1
2684,0,15,1
2699,0,15,1
2713,0,14,2
2728,0,15,1
2743,0,15,1
2757,0,15,1
2771,0,15,1
2786,0,15,1
2801,0,15,1
2816,0,15,1
2830,0,15,1
2844,0,15,1
2860,0,15,1
2874,0,15,1
2888,0,15,1
2903,0,15,1
2917,0,15,1
2932,0,15,1
2947,0,15,1
2961,0,15,1
2975,0,16,0
2990,0,16,0
3005,0,15,1
3019,0,15,1
3034,0,15,1
3048,0,15,1
3063,0,15,1
3078,0,15,1
3092,0,16,0
3106,0,15,1
3121,0,16,0
3136,0,15,1
3150,0,15,1
3165,0,15,1
3179,0,15,1
3194,0,15,1
3209,0,16,0
3223,0,15,1
3237,0,15,1
3252,0,16,0
3267,0,15,1
3281,0,16,0
3296,0,15,1
3310,0,16,0
3325,0,16,0
3340,0,16,0
3354,0,15,1
3368,0,16,0
3383,0,16,0
3398,0,16,0
3412,0,16,0
3427,0,15,1
3441,0,15,1
3456,0,15,1
3471,0,16,0
3485,0,16,0
3500,0,16,0
3514,0,15,1
3529,0,16,0
3544,0,16,0
3558,0,15,1
3572,0,16,0
3587,0,16,0
3602,0,15,1
3616,0,16,0
3631,0,16,0
3645,0,16,0
3660,0,16,0
3675,0,15,1
3689,0,16,0
3703,0,16,0
3718,0,16,0
3733,0,16,0
3747,0,16,0
3762,0,16,0
3776,0,15,1
3791,0,16,0
3806,0,15,1
3820,0,15,1
3834,0,15,1
3849,0,16,0
3864,0,16,0
3878,0,16,0
3893,0,16,0
3907,0,16,0
3921,0,16,0
3937,0,15,1
3951,0,15,1
3965,0,16,0
3980,0,16,0
3995,0,16,0
4009,0,16,0
4024,0,16,0
4038,0,16,0
4052,0,15,1
4068,0,16,0
4082,0,16,0
4097,0,16,0
4111,0,16,0
4126,0,16,0
4140,0,0,16
4154,0,15,1
4168,0,16,0
4183,0,16,0
4198,0,16,0
4212,0,16,0
